NASA,19,177,1729,2712,3182,4041,4473,4572,4909,6153,6329,6690,6731,7462,7907,8167,8544,8567,8708,8709
BAE Systems,16,125,138,151,319,501,509,811,1058,1073,1721,1831,2713,2877,3467,4905,4925
Community,16,151,155,3634,5142,5846,5962,6731,6933,7462,8013,8085,8410,8567,8708,8724,8883
Family,13,5142,5846,5962,6731,6933,7462,8013,8085,8410,8567,8708,8724,8883
Raytheon,12,78,157,1058,1277,1965,2262,2342,2713,2877,3623,4909,5422
Analog Devices,8,97,1153,3467,4761,4905,4909,5902,6324
Lockheed Martin,8,175,195,1071,2713,3461,5856,7462,8167
PTC,7,125,839,1474,2877,4564,6161,8708
4-H,7,131,501,2067,3182,4473,6895,8708
Raytheon Technologies,7,166,228,467,1699,3182,3654,6333
Mathworks,6,125,467,2262,4761,8544,8567
United Technologies,6,181,195,558,2262,3451,5142
Boston Scientific,5,157,246,1100,3623,4905
Raytheon Technologies Corporation,5,175,230,237,2170,2712
Schneider Electric,5,319,509,3323,4905,5422
Robotics Institute of Maine,5,3451,4906,6153,6161,8023
DoDSTEM,4,78,2168,4546,5846
Google,4,97,1100,2877,7462
Medtronic,4,999,2067,2084,3182
Comcast,3,157,4176,4546
New Hampshire Department of Education,3,166,1073,1922
Intuitive Foundation,3,173,6328,7694
Pratt & Whitney,3,177,181,1991
Collins Aerospace,3,839,3146,7462
Argosy Foundation,3,1100,2262,8708
Solidworks,3,3146,3958,4048
Naval Undersea Warfare Center,2,78,5846
Waters Corporation,2,78,1153
Fujifilm Dimatix,2,95,6895
BAE SYSTEMS,2,131,2342
NHDOE,2,131,509
Parker Hannifin,2,151,558
Apple,2,177,2713
Lockheed Martin - Sikorsky,2,237,8085
Watertown Foundation,2,237,2712
Thomaston Savings Bank Foundation,2,237,2712
Watertown High School,2,237,2423
Bosch,2,238,6895
Comcast NBCUniversal,2,558,3182
Amazon Robotics,2,1073,4761
Intel,2,1100,4048
Qualcomm,2,1474,6763
Bose,2,1768,2262
Rockwell Automation,2,2067,5422
Pfizer,2,2067,2168
Neighborhood Group,2,2342,5813
Portsmouth Naval Shipyard,2,4546,5902
BAE,2,4761,8708
Meredith Village Savings Bank,2,4925,8046
National Grid,2,5563,8544
Abbott,2,6731,8567
NH DOE,2,7907,8046
South Portland School Department,1,58
Building STEAM,1,58
South Portland High School,1,58
TE Connectivity / Foster-Miller & Blackstone Vly Reg Voc Tech HS,1,61
P & G Gillette,1,69
Quincy Public Schools,1,69
Casapinka,1,78
Nordson EFD,1,78
ACS Industries,1,78
BankNewport,1,78
Chad Kritzas Team,1,78
Kate Bosch Professional Organizing,1,78
KVH Industries,1,78
Mount Hope Animal Hospital,1,78
Rite-Solutions,1,78
Aquidneck Island Robotics,1,78
DePuy Synthese; Inc. / Harpak Ulma & Bridgewater-Raynham Reg HS,1,88
Hartford Area Career and Technology Center,1,95
Progressive Manufacturing,1,95
Hypertherm,1,95
OnShape,1,95
Dodd Stacy,1,95
Hartford Area Career-Tech Ctr,1,95
Cambridge Rindge and Latin School,1,97
Gene Haas Foundation,1,97
Rindge School of Technical Arts,1,97
General Electric Aviation,1,97
Graphic Solutions,1,97
BAE systems,1,97
Cambridge Rindge & Latin HS,1,97
NDEP / Raytheon / Town of Middletown / Blowfish / Ferreira-Fenton Fund & Middletown High School,1,121
Sonos,1,125
Markforged,1,125
West Coast Products LLC,1,125
Northeastern University,1,125
BNY Mellon,1,125
Boston Latin School,1,125
Brookline High School,1,125
Revere High School,1,125
Greater Boston 4-H Robotics,1,125
Jabil Healthcare,1,126
Clinton High School,1,126
CHAOS Families & Alumni,1,131
Queen City Rotary Club,1,131
Granite State Airport Management Assossiation,1,131
Manchester Central High School,1,131
ITS Inc. / Lockheed Martin / Robotics Institute of Maine / MSAD6 & Bonny Eagle High School,1,133
Monarch Instrument,1,138
John Alberts Welding,1,138
County Stores,1,138
PJ Currier Lumber,1,138
Rapid Sheet Metal,1,138
Omron,1,138
Souhegan High School,1,138
MakeIt Labs,1,151
GHO Ventures,1,151
3rd Degree Safety Solutions,1,151
Star Machines,1,151
Ritz Carlton Boston,1,151
The Godfrey Hotel,1,151
Corning Foundation & Nashua High School-South & Nashua High School-North & Family,1,151
Raytheon Technologies; Pratt & Whitney Division;Middletown; CT,1,155
Berlin Public Schools; Berlin; Ct & Family,1,155
Entwistle,1,157
Avidia Bank,1,157
Hologic,1,157
Tierpoint,1,157
Assabet Valley Reg Tech HS,1,157
Merrimack School District,1,166
Elbit Systems of America,1,166
Saint-Gobain,1,166
B & K Industrial Finishing; Inc.,1,166
Fully Promoted,1,166
Sal's Pizza,1,166
Merrimack High School,1,166
Lanco Integrated / Chinburg Management / Falmouth High School / Adobe / Texas Instruments / Robotics Institute of Maine / IDEXX Laboratories / GoFar & Falmouth High School & Gorham High School,1,172
Triumph,1,173
Pratt & Whitney; A Raytheon Technologies Company,1,173
CNC Software,1,173
Connecticut Ib Academy,1,173
Ellington High School,1,173
East Hartford High School,1,173
Tolland High School,1,173
Enfield High School,1,175
Illinois Tool Works (ITW),1,176
Amiel P. Zak Fund,1,176
Collins Aerospace & Connecticut 4-H Foundation; Inc. & Windsor Locks High School & Suffield High School,1,176
South Windsor Public Schools,1,177
Protedyne,1,177
Ensign-Bickford Aerospace & Defense,1,177
TE Connectivity,1,177
South Windsor Rotary,1,177
South Windsor High School,1,177
UTC Otis Elevator,1,178
Parker Hannifin Corp. Fluid Control Div.,1,178
Sikorsky Aircraft,1,178
Farmington Friends of Robotics,1,178
Farmington High School,1,178
Stanley Black & Decker,1,181
The Stokosa Family & Hartford Public High School & Pathways Academy Tech & Design,1,181
WPI,1,190
Mass Academy-Math & Science,1,190
Ametek-Hayden Kerk Motion Solutions,1,195
Mohawk Northeast,1,195
Pyramid Technologies,1,195
Tiger Enterprises,1,195
JH Metal Finishings,1,195
Southington High School,1,195
Meriden YMCA,1,228
Trail of Terror,1,228
